omega[eV],momentum,fit momentum data,calculated imaginary part of self energy[eV],calculated photoemission peak width(FWHM)
-0.039389999999999994,0.02166840400000003,0.021509995674971343,0.015340078496969028,0.011533697367814469
-0.036359999999999996,0.020098449000000018,0.020117762968884952,0.013685928645383831,0.010217906899773452
-0.03333,0.018459891000000006,0.01868001778484987,0.012150525588218629,0.009006415750016364
-0.0303,0.017279863000000062,0.01723770533172742,0.010685093553685293,0.007863521536285712
-0.027270000000000003,0.01597316999999998,0.01579309425224132,0.009188617381596792,0.0067141038820218695
-0.02424,0.014241952999999974,0.014320514590183272,0.007590798416652113,0.005506644923606647
-0.021210000000000003,0.012421758000000005,0.012776957843362843,0.00587088400502834,0.0042270534806965925
-0.01818,0.011957364000000026,0.011108125659741168,0.004110012962073077,0.0029354483815850186
-0.01515,0.00878147100000004,0.009291027780535584,0.0025321734398378445,0.001792843411788236
-0.012119999999999999,0.007603385000000018,0.007376148058381759,0.0013693167953905303,0.0009607320809253276
-0.00909,0.005756874999999995,0.005452870352616405,0.0006741973109592201,0.0004687630180845196
-0.00606,0.0027417119999999517,0.003580734667593083,0.00032904974338732353,0.0002267954296144665
