omega[eV],momentum,fit momentum data,calculated imaginary part of self energy[eV],calculated photoemission peak width(FWHM)
-0.30583,0.188958843,0.17406789274186632,0.03611224368705252,0.11966318558556573
-0.30583,0.184275403,0.17406789274186632,0.03611224368705252,0.11966318558556573
-0.30583,0.17958742100000002,0.17406789274186632,0.03611224368705252,0.11966318558556573
-0.30783,0.17484945200000002,0.17747289658533572,0.03611224368705252,0.1295122367782271
-0.30183,0.170288369,0.1679380073590332,0.03611224368705252,0.10525348890996737
-0.29883,0.16565386800000004,0.16378783119933735,0.03611224368705252,0.0973192172983531
-0.29383,0.16105889399999995,0.15749367031725878,0.03611224368705252,0.08733466636867689
-0.28983,0.15643601799999995,0.15289122179028725,0.03611224368705252,0.08123998684315663
-0.29083,0.15169721000000003,0.15401103815542813,0.03611224368705252,0.08264321826013918
-0.28683,0.14706419699999995,0.14964101586722425,0.03611224368705252,0.07742437779575946
-0.28083,0.14246955000000006,0.14356299984217308,0.03611224368705252,0.07117320489475233
-0.27783,0.13780388300000002,0.14070238476104377,0.03611224368705252,0.06856764764069956
-0.27183,0.133197978,0.13527699539908264,0.03611224368705252,0.06411598826149076
-0.26883,0.12852185800000004,0.13269364796869074,0.03611224368705252,0.062193345910882596
-0.26383,0.12388343800000001,0.12855413918988187,0.03611224368705252,0.05934193468432311
-0.25383,0.11934564300000006,0.12080535822487676,0.03611224368705252,0.054651604397803547
-0.24883,0.11469564099999996,0.11715597927098859,0.03611224368705252,0.05269024351731605
-0.23983,0.11012406200000002,0.11090428522748899,0.03611224368705252,0.049638473757870755
-0.23682999999999998,0.10542102200000003,0.10890139049905381,0.03611224368705252,0.048734167535158364
-0.23083,0.10077523,0.10500446576395493,0.03611224368705252,0.047065893829158004
-0.22383,0.09614439699999999,0.10062589238095758,0.03611224368705252,0.04532264410120332
-0.21283,0.09158951599999998,0.09406829374186579,0.03611224368705252,0.04294068415602746
-0.20582999999999999,0.08694647700000002,0.0900781318751702,0.03611224368705252,0.04161003673442342
-0.19483000000000003,0.08237839899999999,0.08406229164366766,0.03611224368705252,0.03975279887313556
-0.18783,0.07772324600000002,0.08038146205640627,0.03611224368705252,0.038696017576291916
-0.18483,0.07567398000000003,0.07883662906662468,0.03611224368705252,0.03826904415056856
-0.1818,0.07491719500000005,0.07729544900180753,0.03611224368705252,0.037852367210249364
-0.17876999999999998,0.07345628400000004,0.07577296572562592,0.03611224368705252,0.03744955955661458
-0.17574000000000004,0.07189302900000005,0.07426871626362376,0.036112243687052514,0.03705990806689707
-0.17271000000000003,0.07098331599999996,0.07278227499424818,0.036112243687052493,0.03668275343733682
-0.16968000000000003,0.069197273,0.07131325219494289,0.036112243687052445,0.0363174854112221
-0.16665,0.06735096399999996,0.06986129361577437,0.03611224368705224,0.03596353873298502
-0.16362,0.066690739,0.06842607996449053,0.03611224368705156,0.03562038947566441
-0.16059,0.065777156,0.06700732677855419,0.03611224368704948,0.03528755181072687
-0.15756,0.06471929600000004,0.06560478456485683,0.0361122436870427,0.034964575142626644
-0.15453,0.063849716,0.06421824057229344,0.03611224368702084,0.0346510418736825
-0.1515,0.061460321999999956,0.06284751945533988,0.03611224368695028,0.03434656512292608
-0.14847,0.060283109,0.06149248454213934,0.03611224368672242,0.03405078677954162
-0.14543999999999999,0.05952271600000003,0.06015304190860079,0.036112243685986804,0.03376337632342269
-0.14241,0.05810551399999997,0.05882914364437083,0.036112243683611905,0.03348402957113863
-0.13938,0.05690183599999998,0.057520791566929574,0.036112243675944615,0.03321246761731102
-0.13635,0.05596439600000003,0.05622804443044776,0.03611224365119119,0.03294843656785295
-0.13332,0.05481313700000001,0.05495102619054153,0.03611224357127591,0.032691707487856665
-0.13029,0.05344381099999995,0.05368993582858684,0.03611224331327401,0.032442076618925626
-0.12725999999999998,0.05175512999999998,0.052445063114923265,0.036112242480337224,0.0321993666080112
-0.12423,0.05111453799999999,0.051216806649292936,0.03611223979135139,0.031963427688772146
-0.1212,0.04990218999999996,0.050005703776815055,0.03611223111126715,0.03173413979021565
-0.11817000000000001,0.04864157000000002,0.048812470471121056,0.03611220310037321,0.031511412444178794
-0.11514,0.04846527300000003,0.04763806548457585,0.03611211279714723,0.031295176758524605
-0.11211,0.04647847000000005,0.046483787586934715,0.036111822589322676,0.03108534495127538
-0.10908,0.04553168200000002,0.04535142848090908,0.036110899243091396,0.030881664604733714
-0.10604999999999999,0.04422957900000002,0.04424345344955932,0.03610805019640064,0.030683274203450524
-0.10302000000000001,0.04302565700000005,0.04316298405700353,0.03609997226427089,0.030487743155108285
-0.09999000000000001,0.04296656099999996,0.04211319869670216,0.03608084431271721,0.030290585604869108
-0.09695999999999999,0.04098508099999998,0.04109753843997362,0.03604486274718728,0.03008746643834046
-0.09393,0.03955595200000006,0.04012248010265457,0.03598404575483368,0.02987282748353831
-0.0909,0.03920082199999997,0.03919729474064172,0.03587582900293943,0.029629605046179976
