omega[meV],real part of self energy[meV],error bars[meV],fit real part of self energy[meV],calculated imaginary part of self energy[meV]
148.47,4.871652775042367,1.0200396802285725,7.446694483497317,36.112243686722415
145.44,6.272504127087824,1.0200396802285725,7.623535471590202,36.112243685986805
142.41,6.245336196443657,1.0200396802285725,7.80972247428563,36.11224368361191
139.38,6.657516543248143,1.0200396802285725,8.006091665285538,36.11224367594461
136.35,7.635196403594002,1.0200396802285725,8.213594381436858,36.11224365119119
133.32,8.128559032357652,1.0200396802285725,8.43332027898477,36.11224357127591
130.29,8.118178553466832,1.0200396802285725,8.666524623798988,36.112243313274014
127.25999999999999,7.363913435924074,1.0200396802285725,8.914669680859015,36.11224248033722
124.22999999999999,8.948316094013768,1.0200396802285725,9.179472565628046,36.11223979135139
121.2,9.227319959794201,1.0200396802285725,9.46298157675816,36.11223111126715
118.17000000000002,9.375775781882645,1.0200396802285725,9.767677866457108,36.112203100373215
115.13999999999997,12.001086039859166,1.0200396802285725,10.096636371318924,36.11211279714723
112.11,10.441413810334462,1.0200396802285725,10.453768874657646,36.11182258932268
109.08,11.265538296850938,1.0200396802285725,10.844205098836067,36.110899243091396
106.05,11.242094911593865,1.0200396802285725,11.274751089214016,36.10805019640064
103.02000000000001,11.428551889701822,1.0200396802285725,11.753891849327747,36.09997226427089
99.98999999999998,14.318469995516224,1.0200396802285725,12.290401215157615,36.080844312717204
96.96,12.624292882753949,1.0200396802285725,12.893826730260969,36.04486274718728
93.92999999999999,12.21416009765887,1.0200396802285725,13.58117392220845,35.98404575483368
90.89999999999999,14.385036937493823,1.0200396802285725,14.376495337895955,35.87582900293943
87.87000000000002,16.4403977491719,1.0200396802285725,15.297825412054078,35.675396963016986
84.83999999999999,15.945418433316455,1.0200396802285725,16.34135489541482,35.317539777046655
81.80999999999999,17.66530287336826,1.0200396802285725,17.462154066179995,34.72647218678085
78.78,19.024963003440003,1.0200396802285725,18.553739626002763,33.85103242130325
75.75,20.062523799816546,1.0200396802285725,19.473591592628907,32.733252292153516
72.72,21.014877753410474,1.0200396802285725,20.154732104409657,31.52799989849208
69.69,20.471710066391868,1.0200396802285725,20.695537032937498,30.380466356492988
66.66,20.37996965390389,1.0200396802285725,21.274868004244684,29.26786271727957
63.629999999999995,21.62167352698187,1.0200396802285725,21.956689232899222,27.999173274555787
60.599999999999994,23.721447000606236,1.0200396802285725,22.575355353278518,26.395275099073263
57.569999999999986,23.261226245690754,1.0200396802285725,22.842308741421874,24.516489317268107
54.54,23.359335339521095,1.0200396802285725,22.647603930682592,22.67415880181418
51.510000000000005,22.224709755628705,1.0200396802285725,22.20325897032758,21.12553525842524
48.48,19.65943950764794,1.0200396802285725,21.814799959232943,19.825385265721874
45.449999999999996,22.574858270882544,1.0200396802285725,21.58755754449102,18.519102445848866
42.419999999999995,21.942716504094978,1.0200396802285725,21.37049411747478,17.01155860303576
39.38999999999999,21.367228806945445,1.0200396802285725,20.94602462122816,15.340078496969028
36.36,20.20781737413431,1.0200396802285725,20.259558390691723,13.685928645383832
33.33,18.829904989567137,1.0200396802285725,19.424176210965967,12.15052558821863
30.3,18.66307454588647,1.0200396802285725,18.548517338998533,10.685093553685293
27.270000000000003,18.131193342618367,1.0200396802285725,17.63852493646629,9.188617381596792
24.240000000000002,16.40666541178656,1.0200396802285725,16.623298130060274,7.590798416652113
21.209999999999997,14.394203615996817,1.0200396802285725,15.381716245252974,5.870884005028338
18.180000000000003,16.130548347196008,1.0200396802285725,13.757319025003119,4.110012962073077
15.15,10.235589520093427,1.0200396802285725,11.67671360332604,2.5321734398378446
12.12,9.920336486291616,1.0200396802285725,9.272929816618595,1.3693167953905303
9.090000000000002,7.669406800179672,1.0200396802285725,6.795561761362729,0.6741973109592202
6.0600000000000005,1.9773859231828954,1.0200396802285725,4.416749275879198,0.3290497433873235
